timestamp,symbol,direction,signal,score,confidence,quality,trend_long,trend_short,structure_long,structure_short,momentum_long,momentum_short,risk_long,risk_short,long_total,short_total,summary
2026-06-25T09:15:39.904719+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:15:40.947932+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:16:12.123172+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:16:12.864509+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:16:13.583535+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:16:44.615907+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:16:45.866771+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:16:46.585715+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:17:18.040069+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:17:19.284793+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:17:20.620852+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:17:52.261682+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:17:53.161205+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:17:54.421127+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:18:25.620345+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:18:26.862629+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:18:28.314151+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:18:59.790752+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:19:00.942848+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:19:02.413551+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:19:33.897255+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:19:35.053426+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:19:36.109203+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:20:07.374286+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:20:08.369228+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:20:09.188289+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:20:40.419103+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:20:41.302253+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:20:42.354245+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:21:13.685512+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:21:14.568248+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:21:15.485803+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:21:46.977865+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:21:48.306633+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:21:49.121949+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:22:20.193809+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:22:21.525485+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:22:22.507421+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:22:54.253291+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:22:55.545921+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:22:56.426801+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:23:27.673339+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:23:29.049398+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:23:30.102949+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:24:01.158460+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:24:02.850798+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:24:04.154015+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:24:35.568137+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:24:36.617206+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:24:37.761922+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:25:08.948077+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:25:10.178885+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:25:10.907704+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:25:42.511981+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:25:43.935106+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:25:44.817647+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:26:15.824719+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:26:16.646064+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:26:17.691490+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:26:49.271013+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:26:50.577445+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:26:51.603866+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:27:22.856327+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:27:23.740792+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:27:24.563801+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:27:55.549312+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:27:56.418300+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:27:57.347064+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:28:29.810574+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:28:30.796510+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:28:32.383332+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:29:03.327983+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:29:04.058657+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:29:05.083258+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:29:36.991921+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
