symbol,direction,result,pnl,opened_at,closed_at,decision_time,decision,quality,score,confidence,weighted_score,potential_score,lost_score,rr,atr,signal_age_minutes,stop_size,primary_blocker,loss_reasons,trend_status,structure_status,momentum_status,risk_status,confidence_bin,score_bin,factors
ETH/USDT,SHORT,LOSS,-12.37,2026-06-28T21:36:55.672192,2026-06-29T03:10:02.924045,2026-06-28T21:36:55.671712+00:00,SETUP,B,25.0,100.0,25.0,25.0,0.0,2.0,10.98428571,0.0,10.26406863,,bad SL zone; overestimated confidence; Momentum disagreement,PASS,PASS,FAIL,FAIL,90-100,25-30,symbol=ETH/USDT; direction=SHORT; signal=SETUP; quality=B; score_bin=25-30; confidence_bin=90-100; Trend=PASS; Structure=PASS; Momentum=FAIL; Risk=FAIL; high_confidence_loss; loss_reason=bad SL zone; loss_reason=overestimated confidence; loss_reason=Momentum disagreement
BTC/USDT,SHORT,LOSS,-515.8,2026-06-28T23:10:42.619477,2026-06-28T23:41:18.223858,2026-06-28T23:10:42.616166+00:00,SETUP,B,26.0,98.0,26.0,26.0,0.0,2.0,409.01428571,0.0,368.35130292,,bad entry; bad SL zone; overestimated confidence; Momentum disagreement,PASS,PASS,FAIL,FAIL,90-100,25-30,symbol=BTC/USDT; direction=SHORT; signal=SETUP; quality=B; score_bin=25-30; confidence_bin=90-100; Trend=PASS; Structure=PASS; Momentum=FAIL; Risk=FAIL; high_confidence_loss; loss_reason=bad entry; loss_reason=bad SL zone; loss_reason=overestimated confidence; loss_reason=Momentum disagreement
ETH/USDT,SHORT,LOSS,-15.11,2026-06-29T03:40:36.306185,2026-06-29T12:19:37.386264,2026-06-29T03:40:36.303486+00:00,SETUP,B,26.0,100.0,26.0,26.0,0.0,2.0,16.85142857,0.0,15.09965531,,bad SL zone; overestimated confidence; Momentum disagreement,PASS,FAIL,FAIL,PASS,90-100,25-30,symbol=ETH/USDT; direction=SHORT; signal=SETUP; quality=B; score_bin=25-30; confidence_bin=90-100; Trend=PASS; Structure=FAIL; Momentum=FAIL; Risk=PASS; high_confidence_loss; loss_reason=bad SL zone; loss_reason=overestimated confidence; loss_reason=Momentum disagreement
BTC/USDT,SHORT,LOSS,-560.8,2026-06-29T05:47:02.594428,2026-06-29T12:09:26.529917,2026-06-29T05:47:02.591100+00:00,HIGH PRIORITY,A,27.0,100.0,27.0,27.0,0.0,2.0,550.43571429,0.0,464.2307303,,bad SL zone; overestimated confidence; Momentum disagreement,PASS,PASS,FAIL,PASS,90-100,25-30,symbol=BTC/USDT; direction=SHORT; signal=HIGH PRIORITY; quality=A; score_bin=25-30; confidence_bin=90-100; Trend=PASS; Structure=PASS; Momentum=FAIL; Risk=PASS; high_confidence_loss; loss_reason=bad SL zone; loss_reason=overestimated confidence; loss_reason=Momentum disagreement
ETH/USDT,SHORT,LOSS,-35.06,2026-06-29T15:56:52.344739,2026-06-29T17:13:19.049773,2026-06-29T15:56:52.341878+00:00,SETUP,B,26.0,100.0,26.0,26.0,0.0,2.0,16.845,0.0,16.44927214,,bad SL zone; overestimated confidence; Momentum disagreement,PASS,PASS,FAIL,PASS,90-100,25-30,symbol=ETH/USDT; direction=SHORT; signal=SETUP; quality=B; score_bin=25-30; confidence_bin=90-100; Trend=PASS; Structure=PASS; Momentum=FAIL; Risk=PASS; high_confidence_loss; loss_reason=bad SL zone; loss_reason=overestimated confidence; loss_reason=Momentum disagreement
BTC/USDT,SHORT,WIN,829.7,2026-06-30T08:58:08.989095,2026-06-30T13:02:31.781824,2026-06-30T08:58:08.988165+00:00,SETUP,B,26.0,95.0,26.0,26.0,0.0,2.0,307.37142857,0.0,390.22638531,,,PASS,FAIL,FAIL,FAIL,90-100,25-30,symbol=BTC/USDT; direction=SHORT; signal=SETUP; quality=B; score_bin=25-30; confidence_bin=90-100; Trend=PASS; Structure=FAIL; Momentum=FAIL; Risk=FAIL; high_confidence_win
BTC/USDT,SHORT,LOSS,-439.0,2026-06-30T14:59:39.773334,2026-07-01T01:45:47.918332,2026-06-30T14:59:39.769927+00:00,HIGH PRIORITY,A,29.0,100.0,29.0,29.0,0.0,2.0,371.83571429,0.0,431.60342099,,bad entry; bad SL zone; overestimated confidence; Momentum disagreement,PASS,FAIL,FAIL,FAIL,90-100,25-30,symbol=BTC/USDT; direction=SHORT; signal=HIGH PRIORITY; quality=A; score_bin=25-30; confidence_bin=90-100; Trend=PASS; Structure=FAIL; Momentum=FAIL; Risk=FAIL; high_confidence_loss; loss_reason=bad entry; loss_reason=bad SL zone; loss_reason=overestimated confidence; loss_reason=Momentum disagreement
BTC/USDT,SHORT,LOSS,-761.0,2026-07-01T03:01:58.877010,2026-07-01T14:12:54.424314,2026-07-01T03:01:58.873515+00:00,HIGH PRIORITY,A,30.0,100.0,30.0,30.0,0.0,2.0,451.20714286,0.0,409.48331402,,bad SL zone,PASS,PASS,PASS,PASS,90-100,30-35,symbol=BTC/USDT; direction=SHORT; signal=HIGH PRIORITY; quality=A; score_bin=30-35; confidence_bin=90-100; Trend=PASS; Structure=PASS; Momentum=PASS; Risk=PASS; high_confidence_loss; loss_reason=bad SL zone
BTC/USDT,SHORT,LOSS,-730.0,2026-07-01T15:24:02.821700,2026-07-01T22:21:37.322014,2026-07-01T15:24:02.818010+00:00,SETUP,B,26.0,95.0,26.0,26.0,0.0,2.0,499.96428571,0.0,501.92986176,,overestimated confidence; Momentum disagreement,PASS,PASS,FAIL,PASS,90-100,25-30,symbol=BTC/USDT; direction=SHORT; signal=SETUP; quality=B; score_bin=25-30; confidence_bin=90-100; Trend=PASS; Structure=PASS; Momentum=FAIL; Risk=PASS; high_confidence_loss; loss_reason=overestimated confidence; loss_reason=Momentum disagreement
BNB/USDT,SHORT,LOSS,-4.9,2026-07-02T15:34:55.567557,2026-07-03T15:09:00.592930,2026-07-02T15:34:55.566671+00:00,SETUP,B,26.0,98.0,26.0,26.4,0.4,2.0,4.07142857,0.0,4.11471838,Momentum,bad entry; counter-trend trade; overestimated confidence; Momentum disagreement,PASS,PASS,FAIL,PASS,90-100,25-30,symbol=BNB/USDT; direction=SHORT; signal=SETUP; quality=B; score_bin=25-30; confidence_bin=90-100; Trend=PASS; Structure=PASS; Momentum=FAIL; Risk=PASS; primary_blocker=Momentum; high_confidence_loss; loss_reason=bad entry; loss_reason=counter-trend trade; loss_reason=overestimated confidence; loss_reason=Momentum disagreement
