timestamp,symbol,direction,confidence,weighted_score,long_score,short_score,diff,reason,near_setup_category
2026-06-29T03:10:01.967175+00:00,ETH/USDT,SHORT,83.0,23.0,12.0,23.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T03:10:02.923497+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T03:15:10.076838+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T03:20:15.446611+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T03:25:19.741927+00:00,ETH/USDT,SHORT,83.0,23.0,12.0,23.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T03:25:20.438197+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T03:30:23.834835+00:00,BTC/USDT,SHORT,80.0,22.0,12.0,22.0,10.0,No clear directional edge.,MEDIUM
2026-06-29T03:30:24.545527+00:00,ETH/USDT,SHORT,83.0,23.0,12.0,23.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T03:30:25.251140+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T03:35:29.903320+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T03:40:37.970556+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T03:45:43.188697+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T03:50:48.202628+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T03:55:53.236899+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T04:00:59.345652+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T04:06:04.105959+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T04:11:08.988334+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T04:16:14.020050+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T04:21:19.504873+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T04:26:24.399803+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T04:31:29.935631+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T04:36:35.185975+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T04:41:39.840890+00:00,SOL/USDT,LONG,86.0,20.0,20.0,8.0,12.0,No clear directional edge.,CLOSE
2026-06-29T04:46:44.770595+00:00,SOL/USDT,LONG,86.0,20.0,20.0,8.0,12.0,No clear directional edge.,CLOSE
2026-06-29T04:51:49.520394+00:00,SOL/USDT,LONG,86.0,20.0,20.0,8.0,12.0,No clear directional edge.,CLOSE
2026-06-29T04:56:56.149801+00:00,SOL/USDT,LONG,86.0,20.0,20.0,8.0,12.0,No clear directional edge.,CLOSE
2026-06-29T05:02:01.203503+00:00,SOL/USDT,LONG,86.0,20.0,20.0,8.0,12.0,No clear directional edge.,CLOSE
2026-06-29T05:07:07.555397+00:00,SOL/USDT,LONG,83.0,19.0,19.0,8.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T05:12:14.564168+00:00,SOL/USDT,LONG,83.0,19.0,19.0,8.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T05:17:19.408729+00:00,SOL/USDT,LONG,86.0,20.0,20.0,8.0,12.0,No clear directional edge.,CLOSE
2026-06-29T05:22:24.461020+00:00,SOL/USDT,LONG,86.0,20.0,20.0,8.0,12.0,No clear directional edge.,CLOSE
2026-06-29T05:27:28.471622+00:00,SOL/USDT,LONG,86.0,20.0,20.0,8.0,12.0,No clear directional edge.,CLOSE
2026-06-29T05:32:32.115398+00:00,SOL/USDT,LONG,86.0,20.0,20.0,8.0,12.0,No clear directional edge.,CLOSE
2026-06-29T05:36:55.856573+00:00,SOL/USDT,LONG,86.0,20.0,20.0,8.0,12.0,No clear directional edge.,CLOSE
2026-06-29T05:41:59.929841+00:00,SOL/USDT,LONG,86.0,20.0,20.0,8.0,12.0,No clear directional edge.,CLOSE
2026-06-29T05:47:05.324801+00:00,SOL/USDT,LONG,86.0,20.0,20.0,8.0,12.0,No clear directional edge.,CLOSE
2026-06-29T05:52:09.580147+00:00,SOL/USDT,LONG,86.0,20.0,20.0,8.0,12.0,No clear directional edge.,CLOSE
2026-06-29T05:57:14.297844+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T06:02:18.459667+00:00,ETH/USDT,SHORT,83.0,23.0,12.0,23.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T06:02:19.175926+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T06:07:23.891892+00:00,ETH/USDT,SHORT,83.0,23.0,12.0,23.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T06:07:24.955810+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T06:12:28.812778+00:00,ETH/USDT,SHORT,83.0,23.0,12.0,23.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T06:12:30.393529+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T06:17:33.666775+00:00,BTC/USDT,SHORT,83.0,23.0,12.0,23.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T06:17:34.386359+00:00,ETH/USDT,SHORT,83.0,23.0,12.0,23.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T06:17:35.107611+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T06:22:38.407765+00:00,BTC/USDT,SHORT,83.0,23.0,12.0,23.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T06:22:39.146232+00:00,ETH/USDT,SHORT,83.0,23.0,12.0,23.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T06:22:39.875556+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T06:27:42.978620+00:00,BTC/USDT,SHORT,83.0,23.0,12.0,23.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T06:27:43.806992+00:00,ETH/USDT,SHORT,83.0,23.0,12.0,23.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T06:27:44.535653+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T06:32:49.435801+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T06:37:54.158839+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T06:42:59.707552+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T06:48:04.459939+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T06:53:12.736126+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T06:58:19.323355+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T07:03:24.157643+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T07:08:29.212983+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T07:13:36.512334+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T07:18:41.117686+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T07:23:46.674400+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T07:28:52.245047+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T07:33:58.290031+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T07:39:04.481288+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T07:44:09.935020+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T07:49:16.881628+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T07:54:21.977482+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T07:59:28.950272+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T08:04:34.492504+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T08:09:39.566470+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T08:14:44.343518+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T08:20:13.375388+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T08:25:18.436381+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T08:30:24.520722+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T08:35:33.111776+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T08:41:32.832789+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T08:46:36.825558+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T08:51:40.602546+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T08:56:44.914904+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T09:01:48.846469+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T09:25:42.700741+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T09:27:19.159032+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T09:32:34.161639+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T09:37:38.142963+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T09:42:41.942287+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T09:47:46.288140+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T09:52:51.142778+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T09:57:54.983352+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T10:02:57.123068+00:00,BTC/USDT,SHORT,83.0,23.0,12.0,23.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T10:02:59.285939+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T10:08:01.993148+00:00,BTC/USDT,SHORT,83.0,23.0,12.0,23.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T10:08:04.796034+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T10:11:07.947685+00:00,BTC/USDT,SHORT,83.0,23.0,12.0,23.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T10:12:23.234473+00:00,BTC/USDT,SHORT,83.0,23.0,12.0,23.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T10:12:25.507389+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T10:17:27.765250+00:00,BTC/USDT,SHORT,83.0,23.0,12.0,23.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T10:22:31.382076+00:00,BTC/USDT,SHORT,83.0,23.0,12.0,23.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T10:27:35.326847+00:00,BTC/USDT,SHORT,83.0,23.0,12.0,23.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T10:32:42.884824+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T10:42:54.504893+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T10:53:01.917673+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T10:58:08.618747+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
