symbol,direction,result,pnl,entry,stop_loss,take_profit,opened_at,closed_at,matched_signal_time,matched_debug_time,signal_age_minutes,score,confidence,primary_blocker,passed_filters,failed_filters,market_regime,volatility_regime,loss_reasons,win_factors
ETH/USDT,SHORT,LOSS,-12.37,1573.33,1583.5940686292129,1552.8018627415743,2026-06-28T21:36:55.672192,2026-06-29T03:10:02.924045,2026-06-28T21:36:55.671537+00:00,2026-06-28T21:36:55.671712+00:00,0.0,25.0,100.0,Risk,Trend|Structure|Momentum,Risk,Range,Normal Volatility,bad Risk,
BTC/USDT,SHORT,LOSS,-515.8,59297.0,59665.3513029234,58560.297394153204,2026-06-28T23:10:42.619477,2026-06-28T23:41:18.223858,2026-06-28T23:10:42.615978+00:00,2026-06-28T23:10:42.616166+00:00,0.0,26.0,98.0,Risk,Trend|Structure|Momentum,Risk,Range,Low Volatility,bad Risk,
ETH/USDT,SHORT,LOSS,-15.11,1579.36,1594.4596553116535,1549.1606893766927,2026-06-29T03:40:36.306185,2026-06-29T12:19:37.386264,2026-06-29T03:40:36.303315+00:00,2026-06-29T03:40:36.303486+00:00,0.0,26.0,100.0,N/A,Trend|Structure|Momentum|Risk,,Range,Normal Volatility,unclassified LOSS,
BTC/USDT,SHORT,LOSS,-560.8,59947.2,60411.43073029587,59018.73853940825,2026-06-29T05:47:02.594428,2026-06-29T12:09:26.529917,2026-06-29T05:47:02.590822+00:00,2026-06-29T05:47:02.591100+00:00,0.0,27.0,100.0,N/A,Trend|Structure|Momentum|Risk,,Range,Low Volatility,unclassified LOSS,
ETH/USDT,SHORT,LOSS,-35.06,1580.49,1596.9392721366853,1547.5914557266294,2026-06-29T15:56:52.344739,2026-06-29T17:13:19.049773,2026-06-29T15:56:52.341677+00:00,2026-06-29T15:56:52.341878+00:00,0.0,26.0,100.0,N/A,Trend|Structure|Momentum|Risk,,Range,Normal Volatility,unclassified LOSS,
BTC/USDT,SHORT,WIN,829.7,59297.2,59687.426385314146,58516.74722937171,2026-06-30T08:58:08.989095,2026-06-30T13:02:31.781824,2026-06-30T08:58:08.988017+00:00,2026-06-30T08:58:08.988165+00:00,0.0,26.0,95.0,Risk,Trend|Structure|Momentum,Risk,Range,Low Volatility,,strong Trend|good Structure|strong Momentum|high Confidence
BTC/USDT,SHORT,LOSS,-439.0,58536.8,58968.40342098995,57673.593158020114,2026-06-30T14:59:39.773334,2026-07-01T01:45:47.918332,2026-06-30T14:59:39.769643+00:00,2026-06-30T14:59:39.769927+00:00,0.0,29.0,100.0,Risk,Trend|Structure|Momentum,Risk,Range,Low Volatility,bad Risk,
BTC/USDT,SHORT,LOSS,-761.0,59032.6,59442.08331402172,58213.633371956545,2026-07-01T03:01:58.877010,2026-07-01T14:12:54.424314,2026-07-01T03:01:58.873237+00:00,2026-07-01T03:01:58.873515+00:00,0.0,30.0,100.0,N/A,Trend|Structure|Momentum|Risk,,Range,Low Volatility,unclassified LOSS,
BTC/USDT,SHORT,LOSS,-730.0,60492.7,60994.629861761845,59488.840276476294,2026-07-01T15:24:02.821700,2026-07-01T22:21:37.322014,2026-07-01T15:24:02.817755+00:00,2026-07-01T15:24:02.818010+00:00,0.0,26.0,95.0,N/A,Trend|Structure|Momentum|Risk,,Range,Low Volatility,unclassified LOSS,
BNB/USDT,SHORT,LOSS,-4.9,563.3,567.4147183769353,555.0705632461293,2026-07-02T15:34:55.567557,2026-07-03T15:09:00.592930,2026-07-02T15:34:55.534210+00:00,2026-07-02T15:34:55.566671+00:00,0.0,26.0,98.0,Momentum,Trend|Structure|Risk,Momentum,Range,Low Volatility,weak Momentum,
