timestamp,symbol,direction,decision,score,confidence,sl_quality,filter_name,reason
2026-07-12T12:29:05.809001+00:00,XRP/USDT,SHORT,WATCH,24,100,D,SHORT_SL_QUALITY_D,Dry-run only: XRP/USDT SHORT prospective SL=1.103700 is inside recent 20-bar high/resistance=1.119500. Future filter would block this candidate.
2026-07-12T12:29:12.786497+00:00,ADA/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: ADA/USDT SHORT prospective SL=0.166725 is inside recent 20-bar high/resistance=0.173300. Future filter would block this candidate.
2026-07-12T12:29:14.806551+00:00,AVAX/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: AVAX/USDT SHORT prospective SL=6.500602 is inside recent 20-bar high/resistance=6.784000. Future filter would block this candidate.
2026-07-12T12:29:17.679309+00:00,DOGE/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: DOGE/USDT SHORT prospective SL=0.073843 is inside recent 20-bar high/resistance=0.075550. Future filter would block this candidate.
2026-07-12T12:34:38.519066+00:00,XRP/USDT,SHORT,WATCH,24,100,D,SHORT_SL_QUALITY_D,Dry-run only: XRP/USDT SHORT prospective SL=1.103300 is inside recent 20-bar high/resistance=1.119500. Future filter would block this candidate.
2026-07-12T12:34:40.570481+00:00,ADA/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: ADA/USDT SHORT prospective SL=0.166725 is inside recent 20-bar high/resistance=0.173300. Future filter would block this candidate.
2026-07-12T12:34:42.104718+00:00,AVAX/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: AVAX/USDT SHORT prospective SL=6.503602 is inside recent 20-bar high/resistance=6.784000. Future filter would block this candidate.
2026-07-12T12:34:43.169793+00:00,DOGE/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: DOGE/USDT SHORT prospective SL=0.073813 is inside recent 20-bar high/resistance=0.075550. Future filter would block this candidate.
2026-07-12T12:40:01.874783+00:00,XRP/USDT,SHORT,WATCH,24,100,D,SHORT_SL_QUALITY_D,Dry-run only: XRP/USDT SHORT prospective SL=1.103400 is inside recent 20-bar high/resistance=1.119500. Future filter would block this candidate.
2026-07-12T12:40:04.962642+00:00,ADA/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: ADA/USDT SHORT prospective SL=0.166625 is inside recent 20-bar high/resistance=0.173300. Future filter would block this candidate.
2026-07-12T12:40:07.008135+00:00,AVAX/USDT,SHORT,WATCH,24,95,D,SHORT_SL_QUALITY_D,Dry-run only: AVAX/USDT SHORT prospective SL=6.492602 is inside recent 20-bar high/resistance=6.784000. Future filter would block this candidate.
2026-07-12T12:40:08.505622+00:00,DOGE/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: DOGE/USDT SHORT prospective SL=0.073813 is inside recent 20-bar high/resistance=0.075550. Future filter would block this candidate.
2026-07-12T12:45:28.322567+00:00,XRP/USDT,SHORT,WATCH,24,100,D,SHORT_SL_QUALITY_D,Dry-run only: XRP/USDT SHORT prospective SL=1.103800 is inside recent 20-bar high/resistance=1.119500. Future filter would block this candidate.
2026-07-12T12:45:30.421977+00:00,ADA/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: ADA/USDT SHORT prospective SL=0.166625 is inside recent 20-bar high/resistance=0.173300. Future filter would block this candidate.
2026-07-12T12:45:31.630549+00:00,AVAX/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: AVAX/USDT SHORT prospective SL=6.495602 is inside recent 20-bar high/resistance=6.784000. Future filter would block this candidate.
2026-07-12T12:45:32.520265+00:00,DOGE/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: DOGE/USDT SHORT prospective SL=0.073813 is inside recent 20-bar high/resistance=0.075550. Future filter would block this candidate.
2026-07-12T13:02:55.409145+00:00,XRP/USDT,SHORT,WAIT,21,95,D,SHORT_SL_QUALITY_D,Dry-run only: XRP/USDT SHORT prospective SL=1.103486 is inside recent 20-bar high/resistance=1.119500. Future filter would block this candidate.
2026-07-12T13:03:21.717485+00:00,ADA/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: ADA/USDT SHORT prospective SL=0.166323 is inside recent 20-bar high/resistance=0.173300. Future filter would block this candidate.
2026-07-12T13:08:49.223475+00:00,DOGE/USDT,SHORT,WAIT,21,95,D,SHORT_SL_QUALITY_D,Dry-run only: DOGE/USDT SHORT prospective SL=0.073928 is inside recent 20-bar high/resistance=0.075550. Future filter would block this candidate.
2026-07-12T13:14:09.405841+00:00,ADA/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: ADA/USDT SHORT prospective SL=0.166651 is inside recent 20-bar high/resistance=0.173300. Future filter would block this candidate.
2026-07-12T13:14:11.399417+00:00,DOGE/USDT,SHORT,WAIT,21,95,D,SHORT_SL_QUALITY_D,Dry-run only: DOGE/USDT SHORT prospective SL=0.073929 is inside recent 20-bar high/resistance=0.075550. Future filter would block this candidate.
2026-07-12T13:22:28.063640+00:00,ADA/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: ADA/USDT SHORT prospective SL=0.166451 is inside recent 20-bar high/resistance=0.173300. Future filter would block this candidate.
2026-07-12T13:22:30.008556+00:00,DOGE/USDT,SHORT,WAIT,21,95,D,SHORT_SL_QUALITY_D,Dry-run only: DOGE/USDT SHORT prospective SL=0.073879 is inside recent 20-bar high/resistance=0.075550. Future filter would block this candidate.
2026-07-12T13:27:56.860253+00:00,ADA/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: ADA/USDT SHORT prospective SL=0.166551 is inside recent 20-bar high/resistance=0.173300. Future filter would block this candidate.
2026-07-12T13:27:58.810484+00:00,DOGE/USDT,SHORT,WAIT,21,95,D,SHORT_SL_QUALITY_D,Dry-run only: DOGE/USDT SHORT prospective SL=0.073889 is inside recent 20-bar high/resistance=0.075550. Future filter would block this candidate.
